imagefilename,imageiotime,predictiontime,totalcomputetime,payloadsize
ILSVRC2012_test_00000035_52.JPEG,0.08567113615572453,0.028728717006742954,0.11439985316246748,762
ILSVRC2012_test_00000035_26.JPEG,0.07616475876420736,0.027378606144338846,0.10354336490854621,762
ILSVRC2012_test_00000035_31.JPEG,0.06716314284130931,0.0283756242133677,0.09553876705467701,762
ILSVRC2012_test_00000035_56.JPEG,0.06767326733097434,0.028592736925929785,0.09626600425690413,762
ILSVRC2012_test_00000035_68.JPEG,0.07429133029654622,0.028890265617519617,0.10318159591406584,762
ILSVRC2012_test_00000035_24.JPEG,0.07513733208179474,0.029560446739196777,0.10469777882099152,762
ILSVRC2012_test_00000035_75.JPEG,0.09949164977297187,0.029236058238893747,0.12872770801186562,762
ILSVRC2012_test_00000035_11.JPEG,0.09388057887554169,0.029938139021396637,0.12381871789693832,762
ILSVRC2012_test_00000035_92.JPEG,0.09636707324534655,0.028893365990370512,0.12526043923571706,762
ILSVRC2012_test_00000035_42.JPEG,0.09627947676926851,0.027883538976311684,0.1241630157455802,762
ILSVRC2012_test_00000035_60.JPEG,0.09616531291976571,0.030896575190126896,0.1270618881098926,762
ILSVRC2012_test_00000035_63.JPEG,0.095536092761904,0.02799079194664955,0.12352688470855355,762
ILSVRC2012_test_00000035_58.JPEG,0.09604658233001828,0.02812316408380866,0.12416974641382694,762
ILSVRC2012_test_00000035_10.JPEG,0.09609851008281112,0.02887478470802307,0.12497329479083419,762
ILSVRC2012_test_00000035_72.JPEG,0.0968602979555726,0.03013430070132017,0.12699459865689278,762
ILSVRC2012_test_00000035_4.JPEG,0.09518511826172471,0.027313423808664083,0.1224985420703888,761
ILSVRC2012_test_00000035_7.JPEG,0.09666257398203015,0.029585243202745914,0.12624781718477607,761
ILSVRC2012_test_00000035_47.JPEG,0.09690419211983681,0.029006273951381445,0.12591046607121825,762
ILSVRC2012_test_00000035_29.JPEG,0.09717669617384672,0.02882740180939436,0.12600409798324108,762
ILSVRC2012_test_00000035_99.JPEG,0.09728987608104944,0.02973745297640562,0.12702732905745506,762
ILSVRC2012_test_00000035_79.JPEG,0.0952934599481523,0.028886756859719753,0.12418021680787206,762
ILSVRC2012_test_00000035_3.JPEG,0.09641646267846227,0.02816989691928029,0.12458635959774256,761
ILSVRC2012_test_00000035_46.JPEG,0.09684307686984539,0.02953774807974696,0.12638082494959235,762
ILSVRC2012_test_00000035_48.JPEG,0.09509518230333924,0.03076785895973444,0.12586304126307368,762
ILSVRC2012_test_00000035_94.JPEG,0.09481024090200663,0.02884775400161743,0.12365799490362406,762
ILSVRC2012_test_00000035_38.JPEG,0.09554769797250628,0.0290464386343956,0.12459413660690188,762
ILSVRC2012_test_00000035_97.JPEG,0.09360776096582413,0.02905958378687501,0.12266734475269914,762
ILSVRC2012_test_00000035_83.JPEG,0.09431224875152111,0.028173633385449648,0.12248588213697076,762
ILSVRC2012_test_00000035_64.JPEG,0.0969832232221961,0.03112071705982089,0.128103940282017,762
ILSVRC2012_test_00000035_40.JPEG,0.09618653124198318,0.028902981895953417,0.1250895131379366,762
ILSVRC2012_test_00000035_15.JPEG,0.0970358750782907,0.030545062851160765,0.12758093792945147,762
ILSVRC2012_test_00000035_25.JPEG,0.09083479177206755,0.029312009923160076,0.12014680169522762,762
ILSVRC2012_test_00000035_50.JPEG,0.09104910586029291,0.03181095002219081,0.12286005588248372,762
ILSVRC2012_test_00000035_19.JPEG,0.09159166412428021,0.02915615262463689,0.1207478167489171,762
ILSVRC2012_test_00000035.JPEG,0.09458753326907754,0.03187378775328398,0.12646132102236152,759
ILSVRC2012_test_00000035_22.JPEG,0.09098878409713507,0.029457271099090576,0.12044605519622564,762
ILSVRC2012_test_00000035_93.JPEG,0.09784119902178645,0.029049521777778864,0.12689072079956532,762
ILSVRC2012_test_00000035_55.JPEG,0.09521305281668901,0.028388746082782745,0.12360179889947176,762
ILSVRC2012_test_00000035_95.JPEG,0.09677160577848554,0.030407348182052374,0.1271789539605379,762
ILSVRC2012_test_00000035_59.JPEG,0.09570985287427902,0.028119279071688652,0.12382913194596767,762
ILSVRC2012_test_00000035_77.JPEG,0.09502090513706207,0.029874966014176607,0.12489587115123868,762
ILSVRC2012_test_00000035_74.JPEG,0.0963075221516192,0.029436381068080664,0.12574390321969986,762
ILSVRC2012_test_00000035_78.JPEG,0.09587211301550269,0.03011621069163084,0.12598832370713353,762
ILSVRC2012_test_00000035_98.JPEG,0.09721483802422881,0.028263926971703768,0.12547876499593258,762
ILSVRC2012_test_00000035_9.JPEG,0.09438245976343751,0.029820119962096214,0.12420257972553372,761
